Designator,Center-X(mm),Center-Y(mm),Layer,Rotation
D212,34.6666mm,46.0001mm,TopLayer,270
D211,33.3333mm,46.0001mm,TopLayer,270
D209,30.6667mm,46.0001mm,TopLayer,270
D208,8.1565mm,34.1298mm,TopLayer,306
D207,9.9351mm,31.9335mm,TopLayer,312
D206,11.9335mm,29.9351mm,TopLayer,318
D205,29.3334mm,46.0001mm,TopLayer,270
D204,28.0001mm,46.0001mm,TopLayer,270
D203,26.6668mm,46.0001mm,TopLayer,270
D202,25.3335mm,46.0001mm,TopLayer,270
D201,24.0002mm,46.0001mm,TopLayer,270
D200,22.6669mm,46.0001mm,TopLayer,270
D199,21.3336mm,46.0001mm,TopLayer,270
D198,20.0003mm,46.0001mm,TopLayer,270
D197,18.6670mm,46.0001mm,TopLayer,270
D196,17.3337mm,46.0001mm,TopLayer,270
D195,16.0004mm,46.0001mm,TopLayer,270
D194,14.6671mm,46.0001mm,TopLayer,270
D193,13.3338mm,46.0001mm,TopLayer,270
D192,53.3827mm,36.5000mm,TopLayer,60.00000191
D191,51.9971mm,37.3000mm,TopLayer,60
D190,51.8435mm,34.1298mm,TopLayer,54
D189,46.6663mm,47.3334mm,TopLayer,270
D188,45.3329mm,47.3334mm,TopLayer,270
D187,43.9997mm,47.3334mm,TopLayer,270
D186,42.6664mm,47.3334mm,TopLayer,270
D185,41.3331mm,47.3334mm,TopLayer,270
D184,39.9998mm,47.3334mm,TopLayer,270
D183,38.6665mm,47.3334mm,TopLayer,270
D182,37.3332mm,47.3334mm,TopLayer,270
D181,35.9999mm,47.3334mm,TopLayer,270
D180,34.6666mm,47.3334mm,TopLayer,270
D179,33.3333mm,47.3334mm,TopLayer,270
D177,30.6667mm,47.3334mm,TopLayer,270
D176,5.3343mm,39.0181mm,TopLayer,294
D175,6.6173mm,36.5000mm,TopLayer,299.9999847
D174,8.0030mm,37.3000mm,TopLayer,299.9999847
D173,29.3334mm,47.3334mm,TopLayer,270
D172,28.0001mm,47.3334mm,TopLayer,270
D171,26.6668mm,47.3334mm,TopLayer,270
D170,25.3335mm,47.3334mm,TopLayer,270
D169,24.0002mm,47.3334mm,TopLayer,270
D168,22.6669mm,47.3334mm,TopLayer,270
D167,21.3336mm,47.3334mm,TopLayer,270
D166,20.0003mm,47.3334mm,TopLayer,270
D165,18.6670mm,47.3334mm,TopLayer,270
D164,17.3337mm,47.3334mm,TopLayer,270
D163,16.0004mm,47.3334mm,TopLayer,270
D162,14.6671mm,47.3334mm,TopLayer,270
D161,13.3338mm,47.3334mm,TopLayer,270
D160,56.4100mm,44.3864mm,TopLayer,77.99999905
D159,55.6785mm,41.6565mm,TopLayer,72.00000191
D158,54.6657mm,39.0181mm,TopLayer,66
D157,46.6663mm,48.6667mm,TopLayer,270
D156,45.3329mm,48.6667mm,TopLayer,270
D155,43.9997mm,48.6667mm,TopLayer,270
D154,42.6664mm,48.6667mm,TopLayer,270
D153,41.3331mm,48.6667mm,TopLayer,270
D152,39.9998mm,48.6667mm,TopLayer,270
D151,38.6665mm,48.6667mm,TopLayer,270
D150,37.3332mm,48.6667mm,TopLayer,270
D149,35.9999mm,48.6667mm,TopLayer,270
D148,34.6666mm,48.6667mm,TopLayer,270
D147,33.3333mm,48.6667mm,TopLayer,270
D145,30.6667mm,48.6667mm,TopLayer,270
D144,3.1479mm,47.1777mm,TopLayer,275.9999847
D143,3.5900mm,44.3864mm,TopLayer,282
D142,4.3215mm,41.6565mm,TopLayer,287.9999847
D141,29.3334mm,48.6667mm,TopLayer,270
D140,28.0001mm,48.6667mm,TopLayer,270
D139,26.6668mm,48.6667mm,TopLayer,270
D138,25.3335mm,48.6667mm,TopLayer,270
D137,24.0002mm,48.6667mm,TopLayer,270
D136,22.6669mm,48.6667mm,TopLayer,270
D135,21.3336mm,48.6667mm,TopLayer,270
D134,20.0003mm,48.6667mm,TopLayer,270
D133,18.6670mm,48.6667mm,TopLayer,270
D132,17.3337mm,48.6667mm,TopLayer,270
D131,16.0004mm,48.6667mm,TopLayer,270
D130,14.6671mm,48.6667mm,TopLayer,270
D129,13.3338mm,48.6667mm,TopLayer,270
D128,57.0000mm,50.0000mm,TopLayer,90
D127,55.4000mm,50.0000mm,TopLayer,90
D126,56.8521mm,47.1777mm,TopLayer,84.00000095
D125,46.6663mm,50.0000mm,TopLayer,270
D124,45.3329mm,50.0000mm,TopLayer,270
D123,43.9997mm,50.0000mm,TopLayer,270
D122,42.6664mm,50.0000mm,TopLayer,270
D121,41.3331mm,50.0000mm,TopLayer,270
D120,39.9998mm,50.0000mm,TopLayer,270
D119,38.6665mm,50.0000mm,TopLayer,270
D118,37.3332mm,50.0000mm,TopLayer,270
D117,35.9999mm,50.0000mm,TopLayer,270
D116,34.6666mm,50.0000mm,TopLayer,270
D115,33.3333mm,50.0000mm,TopLayer,270
D113,30.6667mm,50.0000mm,TopLayer,270
D112,3.1479mm,52.8223mm,TopLayer,264.0000153
D111,3.0000mm,50.0000mm,TopLayer,270
D110,4.6000mm,50.0000mm,TopLayer,270
D109,29.3334mm,50.0000mm,TopLayer,270
D108,28.0001mm,50.0000mm,TopLayer,270
D107,26.6668mm,50.0000mm,TopLayer,270
D106,25.3335mm,50.0000mm,TopLayer,270
D105,24.0002mm,50.0000mm,TopLayer,270
D104,22.6669mm,50.0000mm,TopLayer,270
D103,21.3336mm,50.0000mm,TopLayer,270
